title,company,location,job_type,salary,description
Expression of Interest - Graduate Civil Engineer Program (Dec 2026),Prosple,Canberra ACT,,,"Join experienced project team for civil engineering and construction • Rotations in stakeholder engagement, project management, and technical services • Opportunities for travel, mentorship, innovation, and community impact"
Technical Officer - 7658,Icon Water,Canberra ACT,Contract,,What We’re Looking For: Icon Water is looking for a Technical Officer to join the team for a 1 year maximum term to lead desktop and...
HOTO Engineer,Atom Resources,Canberra ACT,Permanent,,"Manage HOTO processes and checklists throughout project phases • Coordinate commissioning activities and documentation with subcontractors • Ensure system readiness, compliance, and client satisfaction in handover"
System Engineer,Whizdom,Canberra ACT,Contract,,"Perform complex systems engineering work within integrated workforce • Develop prototypes, evaluate materiel compliance, and provide technical support • Require Bachelor's in Engineering, 5+ years experience, and SAFe® certification"
Systems Engineer,Elysium EPL,Canberra ACT,Full time,,"Support maritime capability development through systems engineering activities • Contribute to key project documents and analysis for decision-making • Structured mentorship, training, and career progression opportunities available"
Optical Engineer,Electro Optic Systems,Symonston ACT,Full time,,"Design, assemble, align, test, and maintain optical subsystems • Collaborate with engineers, contribute to cutting-edge technology. • Bachelor's degree in Physics/Engineering, 2+ years optical design experience"
Senior Principal Engineer,Hays Recruitment,Canberra ACT,Full time,,"Manage configuration and change management plans in Defence sector • Lead audits, assessments, and Engineering Change Proposals (ECPs) • Experience with Defence standards, systems engineering, and NV1 Clearance"
Senior Project Engineer - Structure,Lendlease,Canberra ACT,Full time,,"Manage detail design of building's structural packages and team • Oversee construction programs, procurement strategy, and quality management • 7+ years experience in large scale building projects required"
Maritime Engineer,Kinexus,Canberra ACT,Permanent,,"Work on engineering processes, risk assessments, and project support • Defence maritime experience, Engineering degree, and NV1 clearance required • Flexible working, inclusive environment, and various benefits and rewards"
Systems Engineer,Kinexus,Canberra ACT,Permanent,,"Degree in Electronics or Electrical Engineering with RADAR/C4ISR/C2 systems • Experience in ASDEFCON, Systems Engineering, and Design Interface • High technical expertise, Secret Security Clearance, strong communication skills"
Systems Engineering - Permanent Opportunities,Downer,Canberra ACT,Permanent,,Join our Downer Professional Services team and express your interest in future opportunities within our System Engineering stream. We are...
Senior Engineering Manager - Technical Performance and Risk,Babcock International Group,Barton ACT,Full time,,Lead global Independent Technical Review (ITR) programme • Develop Technical Performance Metrics (TPMs) and data capture solutions • Systems engineering expertise with technical risk management experience
Ventilation Engineer – Underground Mining & Tunnelling,Protecnium,Canberra ACT,Full time,,"Design, implement, and maintain underground ventilation systems • Develop ventilation plans, conduct surveys, and manage risks • Bachelor's degree in Mechanical or Mining Engineering required"
Electrical Engineer,Northrop Consulting Engineers,Canberra ACT,Full time,,"Lead electrical projects from concept to construction with autonomy • Provide technical delivery for commercial, residential, and educational projects • Tertiary Engineering qualification, CPEng certification or seeking in 1-2 years"
"Senior Structural Engineer - Buildings, Canberra",GHD Group,Canberra ACT,Part time,,"8-12 years' experience in building design projects • Membership of Engineers Australia and CPEng/NER registration desirable • Collaborate with architects, project managers, and civil engineers"
Lead Engineer - System Engineering,GE Vernova - Power Portfolio Power Conversion & Storage,Australian Capital Territory,,,"Specializing in advanced energy conversion and storage systems • Focused on industrial electrification, power stability, and energy storage • Empowering customers to transition to a sustainable, decarbonized future"
2026 Graduate Program,Evoenergy,Canberra ACT,Full time,,Evoenergy is excited to invite recent Engineering graduates to apply for our 2026 Graduate Engineering Program. Our two-year graduate...
Engineering Positions,Downer,Canberra ACT,,,"Specialize in various engineering roles for Defence projects • Experience in system design, cybersecurity, and stakeholder engagement • Australian citizenship, NV1 security clearance, and ITAR compliance required"
Asset Auditor - (Open to Graduates with Relevant Qualifications),Property Network of Australia,Canberra ACT,Contract,,"Conduct onsite asset audits using tablets and barcode scanners • Communicate effectively with clients and stakeholders for service excellence • Require attention to detail, organizational skills, and relevant education"
Senior Project Engineer - Facade,Lendlease,Canberra ACT,Full time,,"Manage facade package delivery on long-term construction project • Oversee design, procurement, quality, financial management, and Health & Safety • 7+ years construction experience, large scale projects, team management"
Senior Principal Engineer,Hays Recruitment,Canberra ACT,Full time,,"Manage engineering documentation, change processes, and system configurations • Defense configuration management standards and leadership experience required. • Experience in Defence acquisition, sustainment programs, NV1 Clearance."
Explosive Ordnance Engineer - EMB,QinetiQ Target Systems - United Kingdom,Canberra ACT,Full time,,Deliver engineering activities for Explosive Ordnance projects • Specialist training in explosives ordnance and guided weapons engineering • Contribute to assurance of Engineering Management Systems in defence industry
Project Manager,ACOR Consultants,Canberra ACT,Full time,,"Manage engineering and design projects with technical oversight • Conduct site inspections, engineering, and commission services • Tertiary qualifications in Engineering or services trade required"
Systems Engineer,swaggie,Russell ACT,Full time,,"Contribute to Defence systems engineering projects • Generate and review engineering artefacts for certification processes • Provide professional advice, mentoring, and stakeholder engagement"
Senior Engineering Specialist (Air/Ground Communication Systems),Halcyon Knights,Canberra ACT,Contract,,Provide technical leadership in VHF communications domain • Manage technology change process and system engineering tasks • Tertiary qualification in Engineering and experience with Systems Engineering
Senior Civil Engineer,WSP,Canberra ACT,Full time,,Lead civil engineering projects from inception to construction • Manage client relationships and deliver projects within time and budget • Work on diverse projects nationally with a collaborative team
Site Supervisor,Ventia,Canberra ACT,Full time,,Are you ready to take on a pivotal role in one of Australia's most important infrastructure initiatives? We're assembling a brand-new...
Laser Scientist/Engineer,Select Aust Sydney,Symonston ACT,Full time,,"Design, assemble, align, test, and maintain laser systems • Develop high energy lasers for ground-to-space applications • Bachelor's degree in Physics/Engineering, 5+ years laser experience"
Senior Protection Engineer,Evoenergy,Greenway ACT,Full time,"$174,862 - $191,639",Evoenergy’s Zone Assets team is looking for a dynamic and solutions driven Senior Protection Engineer to join their team. This role...
"Defence Consultants | Air, Space and Joint Domains - Canberra",Downer,Canberra ACT,Permanent,,Defence industry experience required for critical projects • Hold and maintain minimum Negative Vetting 1 Security clearance • Opportunity to contribute to shaping Australia's future in Defence
RF Engineer,Cleared Recruitment,Canberra ACT,Full time,"$145,000 - $160,000",Design and develop RF/Communication systems for air traffic surveillance • Strong background in Altium and safety critical environment experience • Tertiary qualifications in Communications Systems Engineering required
Graduate Program (Start ASAP),Prosple,Canberra ACT,,"$89,272 - $89,272","Participate in a two-year graduate program in electricity distribution • Recent graduates with bachelor's in electrical engineering or related field • Focus on safety, teamwork, and alignment with company culture"
Engineer Professionals - Communications,Department of Defence,Russell ACT,Full time,"$95,187 - $108,734","Provide engineering advice, contribute to program management • Experience in technical assessments, design packages, and implementation • Effective communication, stakeholder engagement, teamwork, organizational skills"
Defence EOI,Hays Recruitment,Russell ACT,Full time,,"Opportunities for Defence engineers across Land, Air, and Sea • Roles available at various levels on flagship Defence projects • Range of positions from Project Manager to Technical Writers"
ILS Manager,Department of Defence,Russell ACT,Full time,"$120,303 - $135,701","Lead ILS team in managing contract deliverables and project outcomes • Experience in personnel and stakeholder management, work planning required • Knowledge of legislative frameworks, Defence policies, ship acquisition."
"Group Leader, Urban Development (Civil)",Stantec Australia,Canberra ACT,Full time,,"Lead talented team in urban development projects and initiatives • Drive business development, client relationships, and project excellence • Provide leadership, talent management, and ensure quality project delivery"
Structural Engineer,Hudson,Canberra ACT,Permanent,,Minimum 3 years local industry experience in structural engineering • Proficiency in design software and Australian building codes required • Opportunity for exposure to diverse building projects and career development
Technology Development Engineer,Australian National University,Canberra ACT,Contract,$28 - $28,"Lead design, prototyping, and testing of flood monitoring networks • Engage with community groups and residents in technology co-development • Support community-led flood intelligence networks in rural areas"
Senior Consultant – Systems Engineering,Systra,Canberra ACT,Permanent,,"Lead complex engineering activities for Defence clients • Manage stakeholders, contractors, and compliance with regulatory frameworks • Provide expert advice, mentor engineers, and ensure safety compliance"
Explosive Ordnance Engineering Consultant,Nova Systems Australia and New Zealand,Canberra ACT,Full time,,Provide consultancy advice and technical solutions to clients • Develop process change and training for new engineers • Engineering degree with 2 years experience or technical/trade background
Systems Engineer,Lockheed Martin,Canberra ACT,Full time,,"Drive scenario development and requirements analysis for large complex systems • System Engineering, Integration, Verification experience needed • Knowledge in Command & Control, Command Support, or Intelligence domains"
Senior Engineering specialist - VHF,Talent Corp,Canberra ACT,Contract,,Provide technical leadership in VHF communications and systems engineering • Manage technology change processes and systems engineering tasks • Collaborate with stakeholders to ensure system integrity and project success
Explosive Ordnance Engineering Consultant,Nova Systems,Canberra ACT,Full time,,Provide consultancy advice and technical solutions to clients • Collaborate with stakeholders in defence and develop engineering documentation • Engineering degree with 2+ years experience or technical/trade background
Electronics Design Engineer,Randstad,Canberra ACT,Permanent,,"Apply electrical engineering knowledge to develop products and designs • Minimum 3 years' experience in Electronics Engineering or related field • Expertise in Altium Designer, digital and analogue circuit design"
Electrical Engineer,Cleared ICT,Canberra ACT,Permanent,"$95,000 - $110,000","Design and test digital and mixed-signal electronics for aerospace projects • Design PCB layouts in Altium, collaborate with teams • Electrical Engineering degree, experience in high-reliability sectors."
HOTO Engineer,Atom Resources,Canberra ACT,Full time,,"We are working with a large Tier 2 contractor, based in Canberra, to recruit for a HOTO Engineer. About the job Provision of new build..."
Senior Structural Engineer,Kendall Consulting Engineers,Canberra ACT,Full time,,"5+ years structural engineering experience in diverse projects • Independently manage projects from concept to construction • Strong communication skills, client relationships, and fee discussions"
Hardware Engineer,Advanced Design Technology,Fyshwick ACT,Full time,,Design mixed signal circuits and complex multilayer circuit boards • Collaborate with mechanical and system engineers for circuit integration • Tertiary qualifications in Electronics or Communications Engineering required
Testing and Evaluation Engineer,Downer,Canberra ACT,Full time,,"Define verification strategy and propose scenarios for cybersecurity projects • Certified SAFe® Practitioner with experience in HP ALM or JIRA • Hold Security clearance, strong communication skills, and AT&E knowledge"
APS 6 - Engineering Professional - Communications,Australian Department of Defence,Fyshwick ACT,Full time,"$95,187 - $108,734","Collaborate with stakeholders on mission system communication engineering • Accountable for complex engineering work, compliance with legislative frameworks • Lead critical engineering activities, ensure safety aspects of Defence materiel"
Senior Civil Engineer,Stantec Australia,Canberra ACT,Full time,,"Manage civil engineering projects, supervise drafters, and lead design team • Bachelor's in Civil Engineering, 5+ years experience, registration. • Maintain client relationships, ensure compliance, mentor junior engineers"
Senior Engineering specialist - VHF,Talent International,Australian Capital Territory,Contract,,Provide technical leadership in VHF communications and systems engineering • Manage technology change processes and system integrity for aviation • Collaborate with stakeholders to achieve organizational objectives in aviation
MEICA Construction Manager,ConsultANZ,Canberra ACT,,"$150,000 - $180,000","Oversee MEICA construction activities on $400M Water Treatment project • Lead mechanical, electrical, instrumentation, controls, and automation teams • 15+ years MEICA construction experience in water treatment industry"
Azure Data Factory Engineers,Empire Group,Canberra ACT,Contract,,"Design, implement, and maintain ETL pipelines using Azure tools • Collaborate with cross-functional teams to translate business requirements • Proven experience with Azure Data Factory and data engineering skills"
Defence EOI: New Opportunities,Hays Recruitment,Canberra ACT,Permanent,,Permanent roles with excellent project exposure and career progression • Various positions across defence industry disciplines and locations • Minimum NV1 clearance required for all roles unless stated
Senior Civil Engineer - Canberra,Civil Jobs Australia,Canberra ACT,Full time,,Manage large land development projects with innovative solutions • Opportunity for career advancement towards Principal or Director roles • Requires 7+ years experience in project management and design
Senior Protection Engineer,Hays Recruitment,Canberra ACT,Full time,"$180,000 - $180,000","Manage protection assets lifecycle from design to performance analysis • Lead network protection grading studies and develop technical documentation • Electrical Engineering degree, HV/LV protection system experience needed."
Joint Mission Design Team,AMW Professional Services,Canberra ACT,Full time,,"Extensive experience in ADF doctrine and military operational planning • Lead workshops, develop mission engineering, prepare documentation • Minimum 15 years' experience, Australian Citizen, Security Clearance required"
"Dash 8 Q200, Q300 and Q400 - Mechanical, Structures, Avionics - Canberra, ACT",Sigma Resources,Canberra ACT,Full time,"$90,000 - $99,840","Experienced Aircraft Maintenance Engineer for Dash 8 Q200, Q300, Q400 • Trade Certificate IV in Mechanical, Structures, or Avionics required • Competitive pay, flexible schedule, career growth opportunities"
Construction Site Supervisor,Manteena Security (Aust) Pty Ltd,Canberra ACT,Full time,,5+ years experience in coordinating commercial construction projects • Lead and motivate site team to achieve project outcomes • Ensure compliance with safety standards and project plans
Cost Estimator,Downer Professional Services,Canberra ACT,Full time,,Conduct cost estimation for Defence projects using parametric tools • Evaluate manufacturing capability gaps and investment options strategically • Hold Security clearance and contribute to critical Defence projects
Engineering Services Manager,JLL,Canberra ACT,Full time,,"Lead building operations, energy management, and client service delivery • Manage site projects, compliance, client relationships, and financial reporting • Sustainability, project management, emergency response experience needed"
"Engineering Operations Technician, Data Center Engineering Operations",Amazon,Canberra ACT,Full time,,"Maintain and troubleshoot critical data center electrical/mechanical equipment • Assist in new facility design, implementation, and commissioning projects • Manage contractors, vendors, and facility assets for optimal performance"
Multiple DevSecOps Maintenance Support and Product Engineers,Calleo,Canberra ACT,Contract,,"Support secure infrastructure and compliance in Operations Suite environment • Contribute to national security outcomes in dynamic, high-performance team • Experience in Tier 3 support, systems administration, and security assurance"
Engineering Integrity Data & Analytics Manager,Babcock International Group,Barton ACT,Full time,,Lead development of toolsets and dashboards for actionable insights • Interpret complex datasets to generate insights for engineering integrity • Liaise with stakeholders to collect and analyze performance metrics
EL 1 - ILS Manager,Australian Department of Defence,Russell ACT,Full time,"$120,303 - $135,701","Lead ILS team in managing contract deliverables and project outcomes • Experience in personnel and stakeholder management, work planning required • Knowledge of legislative frameworks, Defence policies, and ship acquisition"
JC4S Branch Systems Engineer - Permanent Opportunities,Downer,Canberra ACT,Permanent,,"Provide end-to-end systems engineering services including V&V, test • Create security documentation, manage stakeholder relationships • Defence industry experience and Security clearance required for role"
Facilities Project Lead,Lockheed Martin,Canberra ACT,Full time,,"Coordinate and deliver engineering projects end-to-end • Manage resources, stakeholders, and contractors for outstanding project outcomes • Engineering, Systems Engineering, or Project Management degree required."
Explosive Ordnance Engineer - EMB,QinetiQ Group,Canberra ACT,Contract,,"Specialist in explosive ordnance engineering with technical integrity assurance • Experience in producing design documents, contract documentation, and reports • Engineering degree and explosive ordnance certification required"
Program Engineering Manager - Defence,Randstad,Canberra ACT,Full time,,"At Randstad Defence, we're proud to be partnering with Electro Optic Systems (EOS), a leading Australian technology company operating in..."
Water Engineer - Canberra,Bayside Group,Canberra ACT,Full time,,"Contribute to design of urban water infrastructure and development projects • Experience in flood modelling, WSUD, and leading technical teams • Join award-winning consultancy with focus on innovation and sustainability"
Satellite Communications Engineer,Recruitment Hive,Canberra ACT,Contract,$145 - $165,"Integration of satellite terminals and NGSO capabilities deployment • Bachelor's in Electronics/Communications, 5+ years satellite comms experience • Experience in RF/microwave systems, WAN services, technical documentation"
Deputy Chief Engineer - Electrical (LV & ELV),QinetiQ,Canberra ACT,Full time,,"Lead LV/ELV design, product development, and technical assurance • Mentor engineers, ensure compliance, and oversee control systems projects • Degree in Electrical/Electronic Engineering, Chartered Engineer status required"
Product Engineering Lead,Calleo,Canberra ACT,Contract,,"Lead engineering activities within product line lifecycle • Address technical issues, review engineering, contribute to planning. • ICT technical management, DevOps leadership, security compliance"
Sales Representative,Luxygen Pty Ltd,Canberra ACT,Full time,"$80,000 - $110,000",We are seeking an enthusiastic and motivated Sales Representative to join our growing team. About the Role: The successful candidate will...
Technical Officer - SLR,Randstad,Yarralumla ACT,Full time,"$125,000 - $140,000","Support technical operations and conduct research for defence projects • Analyze technical data, prepare reports, collaborate cross-functionally • Experience in defence procurement or related fields highly desirable"
Utilities Digital Engineer - Client Side,Amida Recruit AU,Canberra ACT,Permanent,,Implement digital engineering strategies for utility projects • Collaborate with stakeholders to integrate digital tools and systems • Bachelor's degree in Engineering or related field required
Senior Protection Engineer,Hays Recruitment,Canberra ACT,Permanent,,"Manage full lifecycle of protection assets, including design and testing • Lead network protection grading studies and provide technical documentation • Bachelor's in Electrical Engineering, HV/LV protection system experience needed."
"Senior and Intermediate Civil Engineers - NSW, VIC + QLD",Immerge Recruitment Services,Canberra ACT,Contract,,"Lead civil engineering projects in Property and Building sector • Manage project timelines, budgets, and client relationships effectively • Mentor and supervise junior engineers, contribute to iconic projects"
Radio Frequency Systems Engineer,Downer,Canberra ACT,Full time,"$130,000 - $170,000","Lead RF system design, implementation, and verification activities • Bachelor's in Engineering with Defence project experience required • Hold and maintain minimum Negative Vetting 1 Security clearance"
Defence EOI,Hays Recruitment,Canberra ACT,Contract,,"Opportunities for Defence engineers in Land, Air, and Sea domains • Roles include Contracts Manager, Project Scheduler, ILS Engineer, etc. • Exciting roles in Canberra with permanent and contract options available"
Project Manager,Evoenergy,Greenway ACT,Full time,"$174,862 - $174,862","Evoenergy has an exciting opportunity for a Project Manager to join their Program Delivery Team, within the Works Enablement Group. The..."
Senior Windows Desktop Engineer,Randstad,Canberra ACT,Full time,,Manage and support Windows desktop infrastructure • Troubleshoot technical issues and provide solutions • Experience in IT support and infrastructure design required
Infrastructure Engineering & Management Positions,Downer,Canberra ACT,,,"Manage Defence estates for strategic planning and facilities support • Require relevant qualifications and defence industry experience • Collaborate with Defence personnel, contractors, and government agencies"
Azure Data Factory Engineer,Calleo,Canberra ACT,Contract,,"Design, implement, and maintain ETL pipelines using Azure Data Factory • Ensure data accuracy, consistency, and availability with strong SQL skills • Collaborate for aligned integrations with business goals."
Project Manager,Randstad,Canberra ACT,Permanent,,"Lead successful defence project from initiation to closure • Manage cross-functional teams, project milestones, and quality standards • Identify risks, manage stakeholders, ensure compliance with defence regulations"
Project Manager,Electro Optic Systems,Symonston ACT,Full time,,"Manage internal and external projects for cutting-edge capabilities • Manage project planning, delivery, resources, stakeholders • Experienced in defense projects, formal project management, and multitasking"
Senior Structural Engineer $150-140k Leadership,Structural Jobs,Canberra ACT,Full time,$150,Transition to leadership role in established engineering consultancy • Opportunity for shareholding and ownership with entrepreneurial potential • Work on diverse projects and gain executive-level exposure
Azure Data Factory Engineer,Pinaka Technology Solutions,Canberra ACT,Full time,,"Design, implement, and optimize data integration pipelines using Azure • Develop ETL pipelines, data models, and perform validation checks • Collaborate with stakeholders, troubleshoot integration issues, and stay updated"
Azure Data Factory Engineers,Peoplebank,Canberra ACT,Contract,,"Implement, manage, and retire infrastructure supporting digital services • Design data integration solutions using Azure Data Factory and SQL • Strong Microsoft Azure Data Factory skills and experience required"
Civil Engineering Intern,Egis Group,Canberra ACT,Internship,,"Bachelor's in Civil Engineering with strong academic performance • Internship in Roads team, Canberra; work on infrastructure projects • Hands-on experience, mentorship, networking, and potential career opportunities"
"Solutions Engineering Manager, ANZ Federal District",NetApp,Kaleen ACT,,,"Lead, coach, and motivate Solutions Engineers for high performance • Develop team's professional growth and establish performance goals • Evangelize innovative solutions, analyze market trends, and drive revenue"
SATCOM Principal Engineer,Downer,Canberra ACT,Full time,"$150,000 - $180,000","Lead technical assurance and certification for narrowband SATCOM systems • Degree in Engineering required; CPEng or obtainable within 12 months • Experience in Defence engineering, SATCOM, and Land Domain integration"
Senior Civil Engineer,TTW,Canberra ACT,Full time,,"Provide technical expertise on large public and private projects • Manage civil documentation, liaise with clients, stakeholders, authorities • Bachelor's in Civil Engineering, CPEng accreditation, 5+ years experience"
Asset Management Technical Developer,Bureau of Meteorology,Canberra ACT,Full time,"$115,443 - $125,832","Develop and enhance IBM Maximo and Maximo Mobile platforms • Customize applications, automations, escalations, and reports. • Provide technical coaching, training, and documentation for system adoption"
System Engineer,Kinexus,Canberra ACT,Contract,,"Lead complex ICT infrastructure projects with stakeholder engagement • Develop system designs, documentation, and maintenance plans • Provide technical leadership, system integration, and problem-solving skills"
Control Systems Engineer,Randstad,Canberra ACT,Permanent,,"Expertise in system tuning and simulation for Remote Weapon Stations • Collaborate with cross-functional teams and external stakeholders • Tertiary Degree in Engineering, 1-3 years experience, security clearance"
BMS Technician,Carrier,Canberra ACT,Full time,,"Commissioning, servicing, and engineering BMCS/DDC control systems • Strong fault finding skills and ability to work autonomously • Excellent oral and written communication, HVAC/BMS knowledge required"
Senior Development Expert,Kirra Services,Canberra ACT,,,Senior Development Expert
Satellite Communications Engineer,Whizdom,Canberra ACT,Contract,,"Design, implement, and maintain satellite communication systems • Work with cross-functional teams to ensure reliable communications • 5+ years experience in satellite communications engineering required"
Global Head of Product Quality,Babcock International Group,Barton ACT,Full time,,"Lead global product quality control framework implementation • Collaborate with business quality, procurement, and technical teams • Extensive background in product quality functions and defence projects"
Laser Engineer,Electro Optic Systems,Symonston ACT,Full time,,"Develop high energy laser subsystems for ground-to-space applications • Contribute to opto-electronics instrumentation with engineering collaboration. • Bachelor's degree in Physics/Engineering, 5+ years laser systems experience"
Expression of Interest - Undergraduate Civil Engineering Internships (May 2026),Prosple,Canberra ACT,Internship,,Join experienced project team at iconic locations for practical learning • Assist in day-to-day operations of civil engineering projects • Opportunity for fixed duration internships with travel requirements
Senior EUC Engineer,Persol Asia Pacific,Canberra ACT,Full time,,"Design, implement, and maintain enterprise unified communication solutions • Maintain system reliability, optimize performance, ensure security compliance • Collaborate with cross-functional teams on innovative solutions for growth"
Data Engineer (Integration & Modelling),Booka Consulting,Canberra ACT,Contract,$110 - $140,"Support Defence's Data Management function with ETL solutions • Maintain data warehouse, deliver data models, and ensure compliance • Require Australian citizenship and NV1 security clearance or higher"
Technical Officer,Electro Optic Systems,Mount Stromlo ACT,Full time,,"Lead operational activities for high-quality SLR data • Troubleshoot and maintain technical systems, including nights. • Skilled in complex systems, automation, software, documentation"
EL 1 - Technical Fleet Manager - CJC03 - IWNSPO,Australian Department of Defence,Fyshwick ACT,Full time,"$120,303 - $135,701","Provide expert technical advice on complex systems and products • Lead and manage team, setting technical strategies and plans • Engage stakeholders, influence requirements, and sustain working relationships"
Quality Team Leader,CEA Technologies,Canberra ACT,Full time,,"Responsible for the initial, proactive management of staffing issues and employee relations in line with company policies and..."
Project Manager,Randstad,Hume ACT,Permanent,,"Manage internal and external projects within EOS Space Systems • Develop and maintain relationships with stakeholders, report project status • Experience in defense projects, formal project management methodologies required"
Sr. Signal Processing Research Analyst - Defence (Canberra Based),Heaton Rail,Canberra ACT,Full time,,"Design and implement advanced signal processing techniques for radar systems • Conduct in-depth analysis of system-derived data for performance enhancements • Tertiary qualifications in engineering, physics, or applied mathematics required"
Systems Engineer,Downer,Canberra ACT,,,Lead systems engineering activities across Defence platforms and domains • Collaborate with multidisciplinary teams to ensure system compliance • Defense industry experience and relevant certifications needed
Project Manager,ECLIPS Engineering,Canberra ACT,Full time,,"Lead high-impact defence projects through project life cycle • Coordinate teams, suppliers, and contractors; oversee budgets and procurement • Proven project management experience, degree in related field required"
Senior Project Manager,Turner & Townsend,Canberra ACT,Full time,,"Manage construction projects and drive growth in respective sector • Lead and manage complex projects with technical expertise • Strong leadership, communication, relationship-building skills required."
Systems Engineer,Downer,Canberra ACT,,,"Support acquisition, verification, validation, and certification of LC4 materiel • Lead requirements derivation, traceability, and acceptance processes • Experience in systems engineering within One Defence Capability System"
Architect - Data Engineering,Slalom,Canberra ACT,,,Design and deliver innovative solutions on cloud data warehouse tools • Facilitate working design sessions with technical teams for data solutions • Hands-on experience with various data engineering technologies and platforms
Data Engineers,Recruitment Hive,Canberra ACT,Contract,$115 - $135,"Develop ETL/ELT processes on Azure data platform • Design and build data storage solutions, frameworks, and strategies • Expertise in cloud environments, Azure Data Factory, Databricks"
System Engineer,eTeam,Canberra ACT,,,5-8 years' experience in specialist area required • SME Specialist qualification and stakeholder management skills mandatory • Experience in Defence or Corporate environment highly desirable
Senior Civil Design Engineer,Hays Recruitment,Canberra ACT,Full time,,"Lead civil infrastructure projects with Autodesk Civil 3D expertise • Minimum 7 years' experience in Australian civil design consultancy • Strong communication skills, proactive attitude, and commitment to growth"
Jira Application Engineer - (NV1),Aurec Group,Canberra ACT,Contract,,"Skilled in Atlassian Jira administration, configuration, and support • Experience in integrating Jira with third-party systems and applications • Analytical thinker with strong problem-solving and communication skills"
Hydraulic Engineer Consultant - 1D Modelling Focus,MACRO Recruitment,Canberra ACT,Contract,$100 - $150,"Develop accurate 1D hydraulic flood operation models • Calibrate, validate models, and verify existing rating tables • 4-8 years experience in hydraulic modelling, data analysis required"
Data Engineer,Quality People,Canberra ACT,Contract,,"Develop data products in collaboration with cross-functional team • Skills in Python, SQL, PySpark, agile, and DevOps practices • Experience in health data analysis and government sector preferred"
Project Controls Specialist,Smarthink,Canberra ACT,Full time,,"Develop and maintain project schedules, budgets, and forecasts • Collaborate with stakeholders to estimate resources, costs, and timelines • Experience in Defence engineering programs and security clearance required"
Project Administrator,Seymour Whyte Constructions,Australian Capital Territory,Full time,,The Project Administrator role at Seymour Whyte focuses on providing comprehensive administrative and commercial support to project...
Project Supervisor,Programmed Maintenance Services,Fyshwick ACT,Full time,,Coordinate and manage subcontractor performance for maintenance projects • Ensure safe and timely delivery of construction projects • Experience in building trades/services or facilities management required
SAS Data Engineer,Australian Federal Police,Canberra ACT,Full time,,Develop and support data pipelines using SAS Data Integrator • Engage with stakeholders to deliver reports and dashboards • Experience in data engineering (ETL) and ability to learn quickly
"Adviser Enterprise Committees, Ministerial and Parliamentary",Department of Defence,Australian Capital Territory,Full time,,Support CDS in enterprise committee meetings and Senate Estimates • Coordinate Freedom of Information requests for DSTG • Maintain security clearance at 'Negative Vetting Level 1'
"Consultant, Contaminated Land ManagementHybrid",worldswin,Canberra ACT,Full time,,"Conduct environmental field works and sample collection • Manage small to medium contaminated-site projects with compliance • Collaborate with team, author technical reports, and uphold safety"
Project Manager,Zinfra,Hume ACT,Full time,,"Lead infrastructure projects in ACT, ensuring safety and efficiency • Manage budgets, subcontractors, and stakeholder relationships effectively • Minimum 5 years' experience in managing electrical or utilities projects"
In-Service Support Manager,Downer,Canberra ACT,Full time,,"Act as interface between ADF and industry, manage configuration • Oversee TDL equipment, provide input into IIS transition planning • Hold and maintain minimum Negative Vetting 1 Security clearance"
Contract Administrator,Ivory Group,Canberra ACT,Contract,$20,"Manage contracts for commercial fit-outs up to $20M • Establish relationships with stakeholders, review subcontract terms • Strong communication skills, construction industry experience required"
"Generalist Junior Consultant and Consultants, Canberra",The Boston Consulting Group,Canberra ACT,Permanent,,"Seeking Junior Consultants and Consultants with diverse industry experience • Minimum 3 years of consulting or industry experience required • Strong analytical, problem-solving, and communication skills essential"
APS 6 - Senior Project Officer,Australian Department of Defence,Australian Capital Territory,Full time,"$95,187 - $108,734","Support project coordination and execution under EL 1 Project Manager • Prepare and maintain documentation, including reporting and project schedules • Contribute to planning and operational readiness activities for Agency stand-up"
Senior Electrical Engineer | SkyKraft,Main Sequence,Canberra ACT,,,"Design and test mixed-signal electronics for satellite systems • Manage electronic hardware development from concept to deployment. • Bachelor's degree in Electrical Engineering, Altium Designer experience required"
Civil Engineering Intern (Nov 2025),AECOM,Canberra ACT,Full time,,Contribute to various project stages from design to operation • Assist in developing sustainable solutions for diverse project challenges • Bachelor's or Postgraduate degree in Civil Engineering required
"Solutions Architect, Viasat Government",Viasat,Canberra ACT,Full time,,"Develop satellite communication solutions for International Government clients • Provide technical support, mentoring, and training to engineering staff • Engineering degree, pre-sales experience, Defense Clearance needed"
Principal Electronics Design Engineer,Randstad,Hume ACT,Permanent,,"Lead electronics design team in developing advanced defence systems • Expertise in high-speed circuits, embedded systems, and Altium Designer • 10+ years exp, Bachelor's in Electrical/Electronics Eng, Chartered"
Principal Electronics Design Engineer,Randstad,Hume ACT,Permanent,,"Lead electronics design team in developing advanced defence systems • Expertise in high-speed circuits, embedded systems, and Altium Designer • 10+ years exp, Bachelor's in Electrical/Electronics Eng, Chartered"
Senior Satellite Comms Engineering,MTP Services,Canberra ACT,Contract,,"Design, implement, and maintain satellite communication systems (GEO & NGSO) • Collaborate with cross-functional teams for WAN connectivity • 5+ years' experience in satellite communications engineering required"
Civil Engineering Intern (Nov 2025),Prosple,Canberra ACT,Internship,,12-week paid internship with hands-on civil engineering experience • Work on high-profile projects with technical experts and industry leaders • Opportunity to transition to a graduate position at AECOM
